Team,TeamID,Season,BT_AdjOE,BT_AdjDE,BT_Barthag,BT_AdjT,BT_EFG_O,BT_EFG_D,BT_OR_Pct,BT_DR_Pct,BT_FTR,BT_FTRD,BT_AdjNetEff
UC Santa Barbara,1364.0,2026,114.651,110.464,0.605359,64.0815,55.1,52.5,31.2,25.9,18.8,16.9,-8.22851
Arkansas Pine Bluff,1115.0,2026,104.634,115.407,0.244706,69.3866,49.8,52.2,27.8,34.3,18.9,16.4,-11.9285
Toledo,1405.0,2026,114.956,112.647,0.55807,68.0413,54.0,54.6,30.2,33.9,14.5,18.1,-8.49595
Indiana,1231.0,2026,122.912,102.592,0.888766,66.2764,56.2,48.8,26.9,29.3,15.0,15.2,0.147098
Louisiana,1418.0,2026,102.226,112.41,0.251222,63.2519,47.1,52.6,28.3,32.3,16.8,18.3,-16.8928
Central Michigan,1141.0,2026,106.913,113.916,0.325291,67.0014,51.8,54.0,29.2,34.3,18.1,17.0,-15.2731
Brown,1135.0,2026,98.4193,108.281,0.250092,66.6023,48.6,51.3,29.0,30.0,19.5,18.7,-14.3465
Wright St.,1460.0,2026,113.895,110.216,0.59329,66.9932,54.8,52.5,33.2,29.1,16.3,16.5,-6.55837
UC Irvine,1414.0,2026,103.988,98.5265,0.650315,68.3443,49.7,45.1,30.4,31.4,17.7,18.7,-5.14366
Montana,1285.0,2026,107.915,107.85,0.501719,69.3058,56.0,51.4,21.4,29.3,19.4,14.6,-9.23737
UAB,1412.0,2026,108.779,106.031,0.573049,69.2895,48.2,49.6,32.7,27.6,12.7,16.2,-5.1799
Tulane,1408.0,2026,107.728,110.7,0.422407,66.9244,49.9,51.1,22.3,35.4,15.7,17.1,-8.31511
FIU,1198.0,2026,108.202,108.968,0.479732,71.7673,50.6,52.6,33.6,35.1,17.6,20.1,-10.4403
BYU,1140.0,2026,125.307,106.018,0.872398,69.6695,54.6,51.1,34.2,28.9,14.9,15.7,4.00235
Illinois Chicago,1227.0,2026,110.287,104.384,0.653096,66.2315,49.7,49.9,36.5,32.1,17.6,19.6,-8.42383
Xavier,1462.0,2026,116.936,109.047,0.690668,70.2544,51.8,53.9,26.5,29.1,13.9,15.6,-5.08071
Charlotte,1150.0,2026,113.059,114.095,0.473822,63.413,53.6,51.1,33.5,32.7,18.2,13.8,-9.77773
Canisius,1145.0,2026,96.3207,114.502,0.12042,64.0286,46.3,52.2,29.3,29.8,19.6,16.0,-17.5021
Wake Forest,1448.0,2026,117.997,105.882,0.776579,68.4938,52.4,52.3,30.1,32.0,15.4,18.2,-2.87303
Florida Atlantic,1194.0,2026,110.662,106.427,0.610353,69.7904,52.2,50.1,31.8,28.5,17.3,15.8,-7.52423
Northeastern,1318.0,2026,107.824,119.116,0.241347,69.6957,52.4,56.4,27.3,30.2,16.4,16.8,-18.9867
Robert Morris,1352.0,2026,110.406,109.586,0.521408,64.5287,54.9,50.0,37.5,28.8,18.6,15.9,-6.57806
Seattle,1370.0,2026,103.02,97.0023,0.666458,67.7,49.4,48.3,24.6,31.8,17.0,21.1,-5.2554
Villanova,1437.0,2026,120.367,100.763,0.885388,64.8706,54.1,51.1,32.8,31.2,15.3,18.6,4.5251
Howard,1224.0,2026,104.593,106.963,0.435942,69.1243,51.0,47.6,36.2,31.9,19.9,21.0,-6.81678
Utah St.,1429.0,2026,124.311,104.338,0.882286,67.5132,57.0,49.9,33.8,32.6,15.5,20.3,3.02325
Marist,1265.0,2026,100.205,102.639,0.431459,66.2219,49.3,45.6,29.1,28.3,16.9,19.5,-9.09084
Portland St.,1340.0,2026,103.972,102.814,0.532157,67.6894,51.3,48.4,29.9,26.8,17.2,17.7,-5.34351
Denver,1176.0,2026,115.455,121.87,0.349359,68.0213,53.6,56.0,29.8,32.8,14.3,13.0,-10.763
Cal St. Northridge,1169.0,2026,108.525,108.323,0.505364,73.6799,51.0,51.6,32.3,26.0,17.8,16.2,-7.59764
Maryland,1268.0,2026,111.638,107.576,0.604962,66.2284,48.1,54.7,33.5,29.4,18.5,14.9,-5.38473
Rice,1349.0,2026,109.527,113.142,0.407708,65.5856,48.5,51.0,35.3,34.6,17.9,15.7,-12.1261
Abilene Christian,1101.0,2026,99.8143,107.358,0.301988,67.1301,47.1,56.7,31.3,29.2,20.9,23.7,-11.7744
Rider,1351.0,2026,97.2075,121.035,0.0743887,65.6664,42.8,55.2,32.6,32.8,16.9,15.3,-19.6043
Boston College,1130.0,2026,104.292,102.169,0.558864,65.8715,47.0,48.9,28.3,28.6,15.4,14.9,-9.94814
Arizona,1112.0,2026,125.746,91.6174,0.974455,70.3296,55.0,44.6,38.4,26.2,15.2,16.9,11.5798
Penn St.,1336.0,2026,114.296,112.404,0.54784,67.515,52.9,58.5,26.0,31.0,15.3,17.8,-6.575
Hawaii,1218.0,2026,107.568,103.196,0.617062,69.7166,52.5,46.8,30.5,25.1,18.8,16.9,-3.97782
San Diego,1360.0,2026,108.995,112.753,0.403765,68.096,51.2,54.7,28.1,34.5,17.5,18.9,-13.3607
UC Davis,1413.0,2026,108.52,108.105,0.511002,68.3553,52.1,52.4,26.1,30.5,18.0,19.8,-7.63408
LSU,1261.0,2026,118.652,107.1,0.764589,66.4419,52.8,50.8,33.1,31.7,15.7,14.1,-3.91996
Fresno St.,1201.0,2026,107.374,104.415,0.579654,68.3306,50.6,51.6,28.1,30.5,18.1,18.4,-9.49134
UMKC,1282.0,2026,93.9561,118.176,0.0667618,69.721,45.7,56.3,26.4,35.9,18.2,16.4,-21.4319
Baylor,1124.0,2026,123.64,106.885,0.842189,67.7597,54.0,52.2,37.4,32.3,16.4,15.9,-1.6737
Oral Roberts,1331.0,2026,102.776,114.666,0.221157,67.6765,49.7,53.6,28.4,31.8,18.5,14.7,-17.5156
Ohio,1325.0,2026,108.787,113.324,0.38463,68.8704,51.0,53.0,28.4,33.0,15.4,16.4,-10.5765
Winthrop,1457.0,2026,110.871,111.333,0.488057,69.9129,49.7,51.4,34.1,27.7,14.7,16.7,-5.47989
Northern Illinois,1296.0,2026,96.2508,114.055,0.124358,67.4159,47.6,55.6,30.3,30.0,21.8,16.3,-15.3061
