Rank,Team,Conf,W-L,KP_AdjEM,KP_AdjO,KP_AdjD,KP_AdjT,KP_Luck,KP_SOS_AdjEM,KP_OppO,KP_OppD,KP_NCSOS_AdjEM,TeamID,Season
1,Duke,ACC,29-2,40.61,128.5,87.9,65.4,0.03,14.14,117.2,103.1,10.93,1181.0,2026
2,Michigan,B10,29-2,39.31,128.6,89.3,71.5,0.039,15.99,118.7,102.7,13.03,1276.0,2026
3,Arizona,B12,29-2,37.33,126.7,89.4,70.1,0.011,14.1,117.7,103.6,3.74,1112.0,2026
4,Florida,SEC,25-6,35.33,126.5,91.2,70.9,-0.051,15.61,119.5,103.9,8.24,1196.0,2026
5,Illinois,B10,24-7,32.67,131.7,99.1,65.5,-0.035,13.53,117.3,103.7,4.19,1228.0,2026
6,Houston,B12,26-5,32.47,125.1,92.6,63.4,0.002,12.34,116.7,104.3,1.15,1222.0,2026
7,Iowa St.,B12,25-6,29.96,123.0,93.0,66.7,0.006,11.5,115.3,103.8,-3.16,1235.0,2026
8,Purdue,B10,23-8,29.41,130.5,101.1,64.9,-0.021,14.98,118.5,103.5,6.69,1345.0,2026
9,Michigan St.,B10,25-6,28.93,122.8,93.9,65.9,0.019,13.72,118.4,104.7,3.91,1277.0,2026
10,Connecticut,BE,27-4,28.25,122.7,94.5,64.9,0.052,11.97,115.5,103.6,8.3,1163.0,2026
11,Gonzaga,WCC,29-3,27.88,121.7,93.8,69.0,0.071,5.76,113.1,107.3,8.59,1211.0,2026
12,Nebraska,B10,26-5,26.95,119.4,92.4,66.9,0.028,11.06,116.2,105.1,-5.63,1304.0,2026
13,Vanderbilt,SEC,24-7,26.45,125.6,99.1,69.5,0.02,13.28,117.8,104.6,1.62,1435.0,2026
14,Louisville,ACC,22-9,26.12,125.8,99.6,70.1,-0.016,12.37,115.8,103.5,3.03,1257.0,2026
15,Tennessee,SEC,21-10,26.1,121.5,95.4,65.3,-0.058,14.39,119.1,104.7,1.15,1397.0,2026
16,Alabama,SEC,23-8,26.09,129.7,103.6,73.0,0.038,17.0,120.0,103.0,13.18,1104.0,2026
17,Texas Tech,B12,22-9,26.08,126.2,100.1,66.3,-0.002,15.31,118.5,103.2,8.12,1403.0,2026
18,Arkansas,SEC,23-8,25.94,127.9,102.0,71.2,0.029,14.73,119.1,104.4,4.88,1116.0,2026
19,Kansas,B12,22-9,25.39,119.5,94.1,67.6,0.038,16.68,118.2,101.5,11.59,1242.0,2026
20,Virginia,ACC,27-4,25.25,121.8,96.5,65.8,0.071,8.61,114.9,106.3,-3.11,1438.0,2026
21,St. John's,BE,25-6,24.43,119.8,95.4,69.8,0.06,11.29,115.5,104.2,6.56,1385.0,2026
22,Saint Mary's,WCC,27-4,23.61,120.7,97.0,65.4,0.024,4.89,111.5,106.7,4.39,1388.0,2026
23,Wisconsin,B10,22-9,22.58,125.4,102.8,69.0,0.038,12.63,116.8,104.1,-0.78,1458.0,2026
24,Iowa,B10,20-11,22.52,121.9,99.4,63.0,-0.055,11.35,115.8,104.4,-6.96,1234.0,2026
25,BYU,B12,21-10,22.41,126.0,103.6,69.8,-0.011,14.37,116.8,102.4,5.2,1140.0,2026
