Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
2010,136,1421,61,1140,55,N,0,22,51,6,17,10,13,7,27,9,11,4,4,20,22,59,7,22,13,18,4,26,12,15,5,6,20
2010,136,1349,66,1302,48,N,0,28,63,8,15,15,19,12,21,17,13,4,2,14,18,60,6,15,13,18,7,19,10,15,2,4,16
2010,136,1463,66,1114,61,N,0,24,46,8,19,13,18,9,27,10,16,9,5,14,26,48,8,22,18,25,4,26,13,12,3,0,17
2010,136,1475,69,1383,62,N,0,29,54,5,18,11,16,12,21,16,18,7,10,17,27,63,7,16,15,20,8,26,19,16,7,4,21
2010,136,1219,56,1239,53,N,0,25,69,9,22,14,18,7,23,12,15,8,4,16,21,51,10,21,14,18,6,22,9,7,7,1,20
2010,136,1353,74,1136,62,N,0,29,69,9,20,18,24,7,31,15,12,3,2,22,20,64,8,19,12,16,9,20,14,10,3,5,17
2010,136,1348,61,1345,52,N,0,23,52,6,14,20,26,9,23,12,14,5,5,19,21,63,11,24,18,23,9,26,9,12,6,4,22
2010,136,1379,57,1318,55,N,0,23,68,6,17,13,19,10,22,12,16,8,2,20,22,67,4,13,13,17,9,19,12,9,2,2,17
2010,138,1379,67,1421,61,N,0,25,65,9,15,9,15,11,23,12,11,5,6,21,22,61,10,25,12,18,13,24,9,11,6,6,18
2010,138,1349,78,1348,66,N,0,28,48,12,21,13,16,11,26,13,12,6,2,19,23,65,6,15,15,22,8,24,10,10,9,6,26
2010,138,1463,72,1353,70,N,0,30,67,9,19,15,18,9,21,16,14,8,5,20,26,58,10,18,8,11,14,16,12,12,4,3,14
2010,138,1475,63,1219,56,N,0,25,57,6,15,9,10,12,23,15,16,4,7,18,23,61,9,15,10,13,8,24,15,12,6,8,25
2010,140,1475,65,1379,59,N,0,23,58,9,22,5,8,12,27,10,15,2,6,15,23,65,10,25,14,18,11,23,12,14,4,2,19
2010,140,1349,81,1463,63,N,0,31,61,8,13,11,15,9,22,17,14,5,3,22,24,67,7,20,8,10,14,23,12,14,8,3,19
2010,142,1349,75,1475,52,N,0,31,56,12,22,15,19,8,25,14,15,8,2,21,21,51,12,27,12,18,12,26,13,14,5,2,19
2010,136,1401,56,1439,49,N,0,22,63,11,25,19,24,12,22,13,16,5,4,18,20,53,8,15,8,12,7,25,13,10,4,3,16
2010,136,1413,77,1423,68,N,0,29,55,8,19,13,16,9,28,15,12,7,0,14,23,57,5,15,15,21,6,21,13,15,6,3,19
2010,136,1202,70,1419,62,N,0,25,56,8,21,17,22,13,35,13,16,6,6,16,23,51,11,24,9,12,5,28,13,16,7,5,17
