Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
2010,136,3367,70,3244,61,N,0,26,53,10,19,17,24,13,26,11,11,8,7,22,25,68,3,13,10,11,13,29,13,14,8,5,15
2010,136,3161,67,3245,59,N,0,25,55,9,17,16,23,11,24,14,7,8,3,15,27,56,6,14,10,15,6,33,16,15,5,3,19
2010,136,3170,60,3260,59,N,0,24,58,12,22,8,10,9,24,11,9,9,6,15,24,61,12,20,6,9,10,26,11,14,6,2,13
2010,136,3333,54,3235,47,N,0,21,60,6,15,14,20,9,26,10,15,5,5,11,17,62,8,21,18,23,4,27,8,14,8,3,16
2010,136,3210,62,3352,59,N,0,25,48,7,14,6,6,9,20,13,20,3,5,21,22,46,14,27,20,26,15,23,13,12,7,6,19
2010,136,3292,69,3426,63,N,0,31,64,9,25,15,19,8,24,16,15,5,2,18,25,62,3,7,11,17,12,28,12,12,6,4,20
2010,136,3468,63,3127,58,N,0,26,62,7,14,18,25,10,21,13,12,4,4,21,21,58,8,18,13,17,9,21,13,14,6,3,19
2010,136,3258,64,3416,62,N,0,25,52,10,23,12,17,11,26,17,14,0,1,21,23,59,9,20,11,14,13,22,11,14,3,0,15
2010,138,3258,68,3367,63,N,0,29,74,13,25,12,15,10,21,15,13,5,4,19,28,65,8,20,10,17,10,24,14,12,4,0,15
2010,138,3468,64,3161,57,N,0,24,59,8,21,16,19,10,21,14,16,8,4,21,22,75,10,25,17,24,10,34,16,14,9,3,20
2010,138,3170,71,3292,67,N,0,25,55,11,22,14,19,10,22,15,17,8,3,19,26,63,10,20,15,19,6,23,16,11,3,6,16
2010,138,3333,54,3210,52,N,0,20,70,5,15,18,25,10,26,14,10,5,5,13,19,60,8,15,17,22,11,25,11,5,4,6,17
2010,140,3258,52,3333,48,N,0,23,62,5,19,12,16,13,23,12,16,8,4,18,19,68,6,15,12,18,7,18,9,11,3,2,14
2010,140,3170,67,3468,58,N,0,23,57,11,20,10,15,8,24,12,10,7,3,16,24,56,6,13,6,11,8,23,13,12,7,8,19
2010,142,3258,66,3170,65,N,0,25,55,8,20,15,19,12,23,16,12,3,2,17,23,67,6,15,13,16,10,27,9,9,4,1,22
2010,136,3266,61,3399,59,N,0,26,51,3,13,13,18,6,19,13,12,4,5,11,19,62,9,22,12,17,9,30,9,10,5,6,23
2010,136,3175,68,3106,64,N,0,27,66,9,21,12,17,7,23,15,13,6,3,17,26,55,8,21,10,16,11,22,12,16,2,4,22
2010,136,3111,63,3232,57,N,0,23,57,7,22,9,13,14,22,13,13,10,4,15,22,42,10,23,10,16,8,27,10,24,6,5,19
2010,136,3384,61,3191,55,N,0,25,56,14,27,12,17,9,21,10,14,6,3,19,22,59,10,22,12,17,12,28,14,13,2,4,17
2010,136,3256,72,3302,64,N,0,31,63,7,19,14,17,11,22,14,13,9,4,16,24,65,12,27,10,15,14,23,15,18,4,2,22
2010,136,3143,62,3457,61,N,0,22,58,8,19,11,17,7,27,12,9,5,7,18,25,59,11,23,13,19,8,25,10,14,3,2,16
2010,136,3357,60,3134,54,N,0,26,60,5,15,11,17,11,22,14,11,6,4,14,21,57,7,16,10,13,17,27,12,13,9,3,17
2010,136,3275,55,3121,54,N,0,22,56,7,19,17,25,8,29,11,10,5,2,22,20,53,8,18,9,13,7,31,10,10,6,3,17
2010,138,3275,64,3266,61,N,0,26,55,9,20,10,15,15,21,13,11,9,1,14,25,63,9,21,12,17,12,22,13,15,6,5,15
2010,138,3357,59,3175,55,N,0,22,51,8,20,10,14,9,24,9,11,6,5,15,19,52,9,18,13,18,10,22,11,13,7,4,23
2010,138,3143,73,3111,72,N,0,34,47,10,23,17,23,5,29,18,14,5,5,13,25,44,9,23,14,19,5,31,12,11,7,4,24
2010,138,3256,52,3384,49,N,0,19,53,10,22,12,15,8,31,11,10,4,5,13,19,65,4,8,13,17,10,24,10,16,6,3,21
2010,140,3256,63,3275,58,N,0,26,55,8,20,15,21,13,19,15,11,9,5,19,25,63,7,17,11,16,10,31,14,13,7,8,15
2010,140,3357,69,3143,55,N,0,26,55,13,29,14,17,9,24,14,14,3,3,16,23,65,9,19,8,12,14,19,6,13,4,1,17
2010,142,3256,60,3357,52,N,0,22,67,10,21,15,21,7,18,11,10,5,1,19,22,58,12,27,15,21,6,27,8,6,7,4,15
2010,136,3287,66,3311,63,N,0,27,61,8,17,13,17,6,20,12,10,3,5,17,24,59,7,18,8,10,8,26,12,11,4,2,14
2010,136,3436,69,3402,68,N,0,28,56,8,21,14,20,11,33,17,14,7,0,13,31,54,9,19,12,17,15,24,19,9,6,5,20
2010,136,3173,59,3227,55,N,0,22,71,7,12,14,18,10,28,12,10,6,5,17,25,61,5,13,11,16,12,27,13,16,4,3,20
2010,136,3356,73,3253,68,N,0,30,54,11,23,15,20,6,24,13,13,5,7,16,27,55,10,22,20,25,8,14,13,17,3,3,18
2010,136,3339,70,3200,59,N,0,30,55,10,20,10,14,6,24,17,16,8,4,15,25,60,3,12,6,10,11,24,15,16,6,4,16
2010,136,3405,73,3169,69,N,0,31,59,8,20,9,14,9,32,17,13,6,5,11,27,64,5,17,13,19,5,32,11,15,4,4,18
2010,136,3330,64,3355,63,N,0,25,57,7,18,15,19,12,25,13,10,6,6,21,26,58,11,31,17,23,4,26,12,17,3,3,13
2010,136,3274,79,3288,64,N,0,29,61,12,23,14,16,9,17,16,12,7,6,22,25,63,8,21,14,19,0,23,11,15,8,3,13
2010,138,3274,64,3287,52,N,0,25,63,14,25,12,17,5,23,9,12,7,3,18,20,50,8,21,9,12,9,23,12,10,1,4,15
2010,138,3330,70,3436,65,N,0,30,61,12,25,11,16,6,21,16,16,6,5,18,25,65,8,23,12,17,3,25,12,12,6,4,18
2010,138,3173,65,3405,61,N,0,25,59,7,23,11,15,7,23,14,15,5,1,17,23,53,6,18,12,16,7,22,12,15,5,3,18
2010,138,3356,52,3339,48,N,0,20,60,9,17,12,15,7,29,11,16,5,3,18,20,59,9,15,14,18,9,29,12,11,6,4,20
2010,140,3274,73,3356,67,N,0,27,60,13,25,15,17,12,28,14,11,6,2,17,25,53,7,18,13,18,12,26,12,20,5,6,19
2010,140,3330,64,3173,57,N,0,21,53,7,14,19,25,17,25,12,19,7,5,19,21,62,9,17,20,26,11,22,11,13,6,4,19
2010,142,3274,74,3330,58,N,0,30,59,9,16,15,20,12,23,16,10,5,2,19,19,53,9,23,13,17,18,22,10,12,3,5,22
2010,136,3324,66,3473,59,N,0,27,47,9,15,7,12,11,33,11,14,9,0,18,26,64,11,23,17,22,10,25,11,13,10,1,20
2010,136,3291,75,3146,69,N,0,27,67,10,21,17,22,8,26,15,13,6,5,16,28,60,4,11,14,19,15,23,17,15,7,6,22
2010,136,3425,56,3322,48,N,0,21,65,6,15,15,22,10,26,11,12,8,3,21,18,56,12,24,21,27,7,29,8,14,3,2,20
2010,136,3391,63,3444,59,N,0,28,61,10,22,9,12,8,18,16,11,6,3,16,24,58,5,16,13,18,13,26,12,8,5,8,17
2010,136,3423,78,3459,76,N,0,30,64,7,18,18,25,7,23,18,11,7,3,16,26,54,7,17,10,13,13,24,12,14,5,4,18
2010,136,3433,70,3342,69,N,0,30,59,15,34,15,20,10,22,18,10,5,5,18,22,50,8,22,13,18,11,26,9,10,7,4,20
2010,136,3327,61,3181,60,N,0,24,58,8,18,8,13,7,27,13,10,6,5,16,25,59,9,17,16,21,7,25,13,12,6,1,14
