Feature,Importance
SeedDiff,77.54306073114276
diff_AvgBlk,59.503615824272856
diff_SoS,57.50540771242231
diff_ConfStrength,53.00503288116306
diff_NeutralWinPct,53.00366237014532
diff_AvgFTM,53.0035577735398
diff_FTRate,52.00339366029948
diff_SoS_Wins,51.506979080382735
diff_AvgTourneySeed,51.00383063638583
diff_ConfTourneyPointDiff,49.50426686089486
diff_AvgStl,49.003414139384404
diff_TourneyWinRate,40.503914752043784
diff_SoS_AdjNetEff,38.51049663126469
SoS_AdjNetEff1,38.50448529422283
diff_AvgFGA3,38.50299506634474
diff_FTPct,38.0025244273711
diff_DRpct,37.503361739451066
SoS_AdjNetEff2,35.00473469123244
interact_SeedDiff_SoS,32.5097313830629
diff_AvgFGA,32.503116224426776
interact_NetEff_SoS,29.508199401199818
diff_AvgAst,28.003430836834013
diff_OffEff,26.00349977519363
diff_TourneyApps,26.003374874358997
diff_RecentWinPct,25.0039074793458
diff_AvgFGM3,24.0028442312032
diff_AvgFGPct3,23.003105350537226
diff_PythExpect,22.504126113839447
diff_AvgPF,22.503218081546947
interact_SeedDiff_NetEff,22.00501590082422
diff_eFGPct,22.002764171687886
diff_TORatePerPoss,22.00273358100094
diff_AvgFGPct,21.50416483776644
diff_AvgDR,21.502943611238152
diff_AvgFGM,21.004169094841927
diff_TourneyWins,21.002876688027754
diff_AvgPointsFor,20.503352764295414
diff_HomeWinPct,20.00393617292866
diff_DefEff,19.00379288662225
diff_AvgTO,18.50306270341389
diff_AvgPointsAgainst,17.50325975078158
diff_PointDiff,17.00777086149901
diff_AvgOR,17.002692520152777
diff_ConfTourneyApps,16.502758495509624
diff_RecentPointDiff,16.00338430283591
diff_NetEff,13.004038525279611
SeedSum,13.003148071933538
diff_DefEff_simple,11.503435622435063
diff_ORpct,11.502709729829803
diff_Pace,11.50251786177978
interact_RecentForm_TourneyExp,11.003596467897296
SeedProduct,10.004025099333376
diff_TSPct,9.503180698025972
diff_AwayWinPct,9.50299305235967
diff_AvgFTA,9.502912766067311
diff_WinPct,9.00344090280123
diff_ConfTourneyWinPct,7.003034261288121
diff_AvgFTPct,6.003484181361273
diff_NetEff_simple,5.006885776761919
diff_OffEff_simple,2.0033137002028525
HigherSeed,1.715537577867508
HistoricUpsetProb,0.5057793539017439
diff_AvgRank,0.0
diff_BestRank,0.0
diff_KP_AdjEM,0.0
diff_CoachTourneyApps,0.0
diff_KP_AdjD,0.0
diff_KP_AdjT,0.0
diff_KP_Luck,0.0
diff_KP_AdjO,0.0
diff_CoachSeasons,0.0
diff_REC_Composite,0.0
diff_NET_Rating,0.0
diff_NET_Rank,0.0
diff_BT_AdjNetEff,0.0
diff_BT_FTRD,0.0
diff_BT_FTR,0.0
diff_BT_DR_Pct,0.0
diff_BT_OR_Pct,0.0
diff_BT_EFG_D,0.0
diff_BT_EFG_O,0.0
diff_BT_AdjT,0.0
diff_BT_Barthag,0.0
diff_BT_AdjDE,0.0
diff_BT_AdjOE,0.0
diff_KP_NCSOS_AdjEM,0.0
diff_KP_OppD,0.0
diff_KP_OppO,0.0
diff_KP_SOS_AdjEM,0.0
diff_NumRankSystems,0.0
diff_DRAFT_NumRound1,0.0
diff_PS_TopUsg,0.0
diff_PS_StarCount,0.0
diff_DRAFT_TopPick,0.0
diff_DRAFT_NumPicks,0.0
diff_REC_Rank,0.0
diff_REC_NumCommits,0.0
diff_PS_TopPRPG,0.0
diff_PS_AvgTS,0.0
interact_KP_BT_AdjEM,0.0
interact_SeedDiff_KP_AdjEM,0.0
interact_StarPlayer_SeedDiff,0.0
interact_Recruiting_RecentForm,0.0
