
"UC Santa Barbara",114.651,110.464,0.605359,18-13,18,31,55.1,52.5,36.8,42.6,18.8,16.9,31.2,25.9,64.0815,53.5,53.3,38,34.1,0,0,55.7,49.1,44.2,35.6,64.0815,,,,2026,,,,-8.22851,77.5,
"Arkansas Pine Bluff",104.634,115.407,0.244706,13-18,13,31,49.8,52.2,38.2,43.5,18.9,16.4,27.8,34.3,69.3866,49.8,54.4,33.3,32.5,0,0,56.5,53.4,37.4,37.5,69.3866,,,,2026,,,,-11.9285,75.5,
Toledo,114.956,112.647,0.55807,17-14,17,31,54,54.6,31.1,26.7,14.5,18.1,30.2,33.9,68.0413,53.6,55.8,36.6,35.3,0,0,52.7,51.6,32.3,40.2,68.0413,,,,2026,,,,-8.49595,76.3,
Indiana,122.912,102.592,0.888766,18-13,18,31,56.2,48.8,34.6,36.9,15,15.2,26.9,29.3,66.2764,60.7,48.5,34.6,32.9,0,0,62.8,48.7,50.9,37.1,66.2764,,,,2026,,,,0.147098,78.3,
Louisiana,102.226,112.41,0.251222,11-22,11,33,47.1,52.6,28.7,45.8,16.8,18.3,28.3,32.3,63.2519,44.8,52.2,33.6,35.6,0,0,45.9,49.7,40.5,36.2,63.2519,,,,2026,,,,-16.8928,70.4,
"Central Michigan",106.913,113.916,0.325291,10-21,10,31,51.8,54,31.4,39,18.1,17,29.2,34.3,67.0014,52.2,54.4,33.9,35.5,0,0,54.9,57.9,34,38.4,67.0014,,,,2026,,,,-15.2731,69.7,
Brown,98.4193,108.281,0.250092,9-18,9,27,48.6,51.3,28.1,37.6,19.5,18.7,29,30,66.6023,50.4,52.2,30.3,33.5,0,0,59.5,55.3,36.3,43,66.6023,,,,2026,,,,-14.3465,68.4,
"Wright St.",113.895,110.216,0.59329,22-11,22,33,54.8,52.5,37.8,33.6,16.3,16.5,33.2,29.1,66.9932,54.8,53.7,36.5,33.5,0,0,47,44.3,33.8,34.7,66.9932,,,,2026,,,,-6.55837,75,
"UC Irvine",103.988,98.5265,0.650315,22-10,22,32,49.7,45.1,36.1,27.5,17.7,18.7,30.4,31.4,68.3443,49.5,42.1,33.3,33.3,0,0,55.2,54.7,28.2,37.8,68.3443,,,,2026,,,,-5.14366,68.7,
Montana,107.915,107.85,0.501719,17-15,17,32,56,51.4,36.4,31.6,19.4,14.6,21.4,29.3,69.3058,56.5,52.3,36.8,33.3,0,0,56.1,49.6,41.3,38,69.3058,,,,2026,,,,-9.23737,77.6,
