Rank,Team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,SOS_NetRtg,SOS_ORtg,SOS_DRtg,NCSOS_NetRtg
1,Duke,ACC,29-2,40.61,128.5,87.9,65.4,0.030,14.14,117.2,103.1,10.93
2,Michigan,B10,29-2,39.31,128.6,89.3,71.5,0.039,15.99,118.7,102.7,13.03
3,Arizona,B12,29-2,37.33,126.7,89.4,70.1,0.011,14.10,117.7,103.6,3.74
4,Florida,SEC,25-6,35.33,126.5,91.2,70.9,-0.051,15.61,119.5,103.9,8.24
5,Illinois,B10,24-7,32.67,131.7,99.1,65.5,-0.035,13.53,117.3,103.7,4.19
6,Houston,B12,26-5,32.47,125.1,92.6,63.4,0.002,12.34,116.7,104.3,1.15
7,Iowa St.,B12,25-6,29.96,123.0,93.0,66.7,0.006,11.50,115.3,103.8,-3.16
8,Purdue,B10,23-8,29.41,130.5,101.1,64.9,-0.021,14.98,118.5,103.5,6.69
9,Michigan St.,B10,25-6,28.93,122.8,93.9,65.9,0.019,13.72,118.4,104.7,3.91
10,Connecticut,BE,27-4,28.25,122.7,94.5,64.9,0.052,11.97,115.5,103.6,8.30
11,Gonzaga,WCC,29-3,27.88,121.7,93.8,69.0,0.071,5.76,113.1,107.3,8.59
12,Nebraska,B10,26-5,26.95,119.4,92.4,66.9,0.028,11.06,116.2,105.1,-5.63
13,Vanderbilt,SEC,24-7,26.45,125.6,99.1,69.5,0.020,13.28,117.8,104.6,1.62
14,Louisville,ACC,22-9,26.12,125.8,99.6,70.1,-0.016,12.37,115.8,103.5,3.03
15,Tennessee,SEC,21-10,26.10,121.5,95.4,65.3,-0.058,14.39,119.1,104.7,1.15
16,Alabama,SEC,23-8,26.09,129.7,103.6,73.0,0.038,17.00,120.0,103.0,13.18
17,Texas Tech,B12,22-9,26.08,126.2,100.1,66.3,-0.002,15.31,118.5,103.2,8.12
18,Arkansas,SEC,23-8,25.94,127.9,102.0,71.2,0.029,14.73,119.1,104.4,4.88
