Rank,Team,NET
1,Duke,1
2,Michigan,2
3,Arizona,3
4,Florida,4
5,Gonzaga,5
6,Illinois,6
7,Houston,7
8,Iowa St.,8
9,UConn,9
10,Purdue,10
11,Michigan St.,11
12,Nebraska,12
13,Virginia,13
14,Louisville,14
15,Texas Tech,15
16,Vanderbilt,16
17,Alabama,17
18,Arkansas,18
19,Kansas,19
20,Saint Mary's,20
21,Tennessee,21
22,St. John's,22
23,N. Carolina,23
24,BYU,24
25,Iowa,25
26,Wisconsin,26
27,Saint Louis,27
28,Kentucky,28
29,Utah St.,29
30,Ohio St.,30
31,Georgia,31
32,Miami,32
33,Villanova,33
34,UCLA,34
35,NC State,35
36,Clemson,36
37,Indiana,37
38,Auburn,38
39,SMU,39
40,TCU,40
41,Texas,41
42,Santa Clara,42
43,Texas A&M,43
44,VCU,44
45,New Mexico,45
46,Cincinnati,46
47,San Diego St.,47
48,Baylor,48
49,South Florida,49
50,Tulsa,50
51,UCF,51
52,Akron,52
53,Va. Tech,53
54,Oklahoma,54
55,Miami (Ohio),55
56,Seton Hall,56
57,Boise St.,57
58,West Virginia,58
59,Stanford,59
60,Missouri,60
61,Washington,61
62,McNeese,62
63,Belmont,63
64,Wake Forest,64
65,California,65
66,Yale,66
67,Arizona St.,67
68,Grand Canyon,68
69,Florida St.,69
70,Northwestern,70
71,Colorado,71
72,N. Iowa,72
73,Nevada,73
74,Minnesota,74
75,Dayton,75
76,High Point,76
77,LSU,77
78,USC,78
79,Okla. St.,79
80,Wichita St.,80
81,Creighton,81
82,Butler,82
83,Syracuse,83
84,Providence,84
85,Utah Valley,85
86,SF Austin,86
87,Colo. St.,87
88,Hofstra,88
89,George Mason,89
90,George Wash.,90
91,Marquette,91
92,Ole Miss,92
93,Notre Dame,93
94,Illinois St.,94
95,Georgetown,95
96,UNCW,96
97,Xavier,97
98,Wyoming,98
99,Kansas St.,99
100,Liberty,100
101,DePaul,101
102,Maryland,102
103,Cal Baptist,103
104,Sam Houston,104
105,St. Thomas (MN),105
106,Davidson,106
107,S. Carolina,107
108,Murray St.,108
109,Pittsburgh,109
110,Miss. St.,110
111,UNLV,111
112,Hawaii,112
113,UIC,113
114,Bradley,114
115,N. Dakota St.,115
116,Pacific,116
117,UAB,117
118,UC Irvine,118
119,San Fran.,119
120,UC San Diego,120
121,S. Illinois,121
122,Seattle,122
123,FAU,123
124,Saint Joseph's,124
125,Memphis,125
126,ETSU,126
127,Montana St.,127
128,William & Mary,128
129,Utah,129
130,Winthrop,130
131,Penn St.,131
132,Troy,132
133,Wright St.,133
134,UT-Rio Grande Valley,134
135,Robert Morris,135
136,Portland St.,136
137,UCSB,137
138,Navy,138
139,N. Colorado,139
140,Duquesne,140
141,Cornell,141
142,Wash. St.,142
143,Rutgers,143
144,Rhode Island,144
145,North Texas,145
146,Toledo,146
147,Kent St.,147
148,Penn,148
149,Fresno St.,149
150,Harvard,150
151,Maryland,151
152,Richmond,152
153,Arkansas St.,153
154,Middle Tenn.,154
155,Bowling Green,155
156,W. Kentucky,156
157,Valparaiso,157
158,St. Bona.,158
159,Boston College,159
160,Towson,160
161,Idaho,161
162,UT Arlington,162
163,Charleston,163
164,Temple,164
165,Austin Peay,165
166,Cent. Arkansas,166
167,Ga. Tech,167
168,Marshall,168
169,Monmouth,169
170,Kennesaw St.,170
171,Oregon St.,171
172,Tennessee St.,172
173,Merrimack,173
174,Fordham,174
175,Utah Tech,175
176,UC Davis,176
177,Oakland,177
178,N. Kentucky,178
179,LMU,179
180,CS Fullerton,180
181,Mercer,181
182,Marist,182
183,Charlotte,183
184,Columbia,184
185,South Alabama,185
186,N. Mex. St.,186
187,Queens,187
188,Siena,188
189,App. St.,189
190,CSNorthridge,190
191,FIU,191
192,Campbell,192
193,Lipscomb,193
194,Furman,194
195,Drake,195
196,TX A&M-CC,196
197,Weber St.,197
198,Buffalo,198
199,Montana,199
200,LIU,200
201,E. Washington,201
202,Howard,202
203,Massachusetts,203
204,UT Martin,204
205,UMBC,205
206,Tulane,206
207,James Madison,207
208,New Orleans,208
209,S. Dak. St.,209
210,Drexel,210
211,Jax. State,211
212,Quinnipiac,212
213,La. Tech,213
214,Missouri St.,214
215,Indiana St.,215
216,Green Bay,216
217,Samford,217
218,So. Miss,218
219,Ga. Southern,219
220,Youngstown St.,220
221,Portland,221
222,Elon,222
223,Vermont,223
224,Tarleton St.,224
225,SE Missouri St.,225
226,W. Carolina,226
227,Ohio,227
228,Cal Poly,228
229,Detroit,229
230,Colgate,230
231,C. Carolina,231
232,Stony Brook,232
233,Saint Peter's,233
234,San Diego,234
235,La Salle,235
236,Idaho St.,236
237,Texas St.,237
238,UNC-Ash.,238
239,Iona,239
240,E. Michigan,240
241,Denver,241
242,Fairfield,242
243,Charleston So.,243
244,Rice,244
245,Wofford,245
246,Nicholls,246
247,FGCU,247
248,Abilene Chr.,248
249,Princeton,249
250,Lamar,250
251,Radford,251
252,Milwaukee,252
253,PFW,253
254,Old Dominion,254
255,Bethune-Cook.,255
256,San Jose St.,256
257,Boston U.,257
258,Omaha,258
259,American,259
260,LBSU,260
261,SIUE,261
262,Presbyterian,262
263,Lindenwood,263
264,Dartmouth,264
265,Morehead St.,265
266,East Carolina,266
267,Longwood,267
268,UTEP,268
269,Sacramento St.,269
270,Hampton,270
271,So. Utah,271
272,North Dakota,272
273,Pepperdine,273
274,UC Riverside,274
276,NC A&T,276
277,Southern U.,277
278,Incarnate Word,278
279,Mt St Mary's,279
280,C. Michigan,280
281,W. Michigan,281
282,Lehigh,282
283,Northeastern,283
284,South Dakota,284
285,Bellarmine,285
286,Delaware,286
287,Chattanooga,287
288,CCSU,288
289,Loyola Chi.,289
290,Le Moyne,290
291,E. Kentucky,291
292,Sacred Heart,292
293,UNCG,293
294,Houston Chr.,294
295,Brown,295
296,SE Louisiana,296
297,Jacksonville,297
298,W. Georgia,298
299,Ball St.,299
300,Northwestern St.,300
301,Grambling St.,301
303,SC Upstate,303
304,Wagner,304
305,Evansville,305
306,Georgia St.,306
307,Tenn. Tech,307
308,Alabama A&M,308
309,Little Rock,309
310,Stetson,310
311,Oral Roberts,311
312,Louisiana,312
313,Norfolk St.,313
314,N. Arizona,314
315,Florida A&M,315
316,Prairie View,316
317,Ark.-Pine Bluff,317
318,UMass Lowell,318
319,Clev. St.,319
320,Texas So.,320
321,Alabama St.,321
322,IUI,322
323,E. Illinois,323
324,Lafayette,324
325,UAlbany,325
327,N.J. Tech,327
328,Loyola-Md.,328
329,Manhattan,329
330,Cal-Baker.,330
331,Holy Cross,331
333,Bucknell,333
334,FDU,334
335,Army,335
336,N. Illinois,336
337,North Florida,337
338,N. Alabama,338
339,Maine,339
340,Chicago St.,340
341,Niagara,341
342,UTSA,342
343,Canisius,343
345,The Citadel,345
346,New Hamp.,346
347,NC Central,347
348,Jackson St.,348
349,Air Force,349
350,Md.-E. Shore,350
351,Morgan St.,351
352,Alcorn St.,352
353,Saint Francis,353
354,Bryant,354
355,UL-Monroe,355
356,Rider,356
357,SC State,357
358,Kansas City,358
359,VMI,359
360,Binghamton,360
361,Gardner-Webb,361
362,Delaware St.,362
363,Coppin St.,363
364,W. Illinois,364
365,Miss Valley St.,365
