Season,Player,Team,Min%,PRPG!,Usg,TS
2026,Cameron Boozer,Duke,81.6,7.7,30,67.3
2026,Bruce Thornton,Ohio St.,89.6,7.2,23.2,66.7
2026,Keaton Wagler,Illinois,82.6,6.5,25.5,60.7
2026,Ebuka Okorie,Stanford,81.5,6.4,30,58.7
2026,Christian Anderson,Texas Tech,93.1,6.4,25.7,63.7
2026,Darius Acuff Jr.,Arkansas,83,6.3,28.1,60.7
2026,AJ Dybantsa,BYU,85.2,6.3,32.8,59.9
2026,Bennett Stirtz,Iowa,93.1,6.1,25.8,62.8
2026,Jeremy Fears Jr.,Michigan St.,79.4,6,26.7,59
2026,Nick Martinelli,Northwestern,85.3,5.8,29.4,59.6
2026,Keyshawn Hall,Auburn,77.5,5.7,27.4,61.9
2026,Boopie Miller,SMU,84.2,5.7,26.1,62
2026,Labaron Philon,Alabama,70,5.6,29.9,62.4
2026,Yaxel Lendeborg,Michigan,74.1,5.6,20.6,63.8
2026,Hannes Steinbach,Washington,76.7,5.5,24.8,64.4
2026,Braden Smith,Purdue,85.1,5.5,26.4,57.5
2026,Colby Garland,San Jose St.,75.8,5.4,29.4,58.4
2026,Tyler Tanner,Vanderbilt,81.7,5.4,26.1,62
2026,Nick Boyd,Wisconsin,77.1,5.4,29.8,58.6
2026,Cade Tyson,Minnesota,87.4,5.3,24.4,64.7
2026,Donovan Atwell,Texas Tech,86.6,5.3,13,68.4
2026,Caleb Wilson,North Carolina,60.6,5.3,28.7,62.6
2026,Robert Wright III,BYU,86.8,5.3,25.2,57.9
2026,JT Toppin,Texas Tech,69.9,5.3,30.5,57.1
2026,Richie Saunders,BYU,62.9,5.2,23.7,63.2
2026,Dior Johnson,Tarleton St.,42.2,5.1,36.4,64.7
2026,Milan Momcilovic,Iowa St.,74.7,5,18.4,70.4
2026,Aden Holloway,Alabama,61.5,5,23.1,64.3
2026,Paulius Murauskas,Saint Mary's,82.2,5,26.7,59.3
2026,Graham Ike,Gonzaga,66.4,5,26.8,62.8
2026,Kingston Flemings,Houston,79.1,5,26.8,57.1
2026,Tyler Bilodeau,UCLA,71.4,5,23.8,65.2
2026,Lamar Wilkerson,Indiana,83.9,4.9,27.2,61.3
2026,Cameron Carr,Baylor,84.1,4.9,23.7,63.8
2026,Juke Harris,Wake Forest,85.5,4.9,27.6,58.9
2026,Isaiah Johnson,Colorado,75.3,4.9,23.9,64.3
2026,Ven-Allen Lubin,N.C. State,68.8,4.9,19.4,70.1
2026,Tavari Johnson,Akron,80.3,4.8,27.6,63.5
2026,Dailyn Swain,Texas,79.8,4.8,26,64
2026,Jack Karasinski,Bellarmine,74.2,4.8,29.2,69.3
2026,Quinn Denker,Northern Colorado,81.7,4.7,29,58
2026,Pryce Sandfort,Nebraska,82.5,4.7,21.4,63.2
2026,Ja'Kobi Gillespie,Tennessee,84.7,4.7,25.7,53.2
2026,Mark Mitchell,Missouri,83.1,4.7,25.5,60.2
2026,Oscar Cluff,Purdue,58.2,4.7,18.1,71.1
2026,Henri Veesaar,North Carolina,72.3,4.7,21.8,66.6
2026,Thomas Haugh,Florida,80.8,4.7,20.7,59.2
2026,Kylan Boswell,Illinois,59.2,4.7,21.3,57.3
2026,Nolan Winter,Wisconsin,74.3,4.6,17.8,65
2026,Darryn Peterson,Kansas,44.8,4.6,30.9,59.2
2026,Zuby Ejiofor,St. John's,73.8,4.6,26,61.6
2026,Nick Townsend,Yale,79.8,4.6,26.2,62.8
2026,John Blackwell,Wisconsin,79.3,4.6,25.5,58
2026,Dra Gibbs-Lawhorn,UNLV,84.3,4.5,25.1,63.6
2026,Miles Barnstable,Tulsa,75.2,4.5,18.5,66.8
2026,Barrington Hargress,Colorado,79.4,4.5,19.2,63.6
2026,Cruz Davis,Hofstra,96,4.5,27.3,56.6
2026,Flory Bidunga,Kansas,78.8,4.5,19.9,65.2
2026,Joshua Jefferson,Iowa St.,79.2,4.5,28.7,55.4
2026,Ethan Potter,Utah Tech,78.8,4.5,23.3,62.6
2026,Tre Donaldson,Miami FL,85.4,4.5,24.7,56.1
2026,Dominique Daniels Jr.,Cal Baptist,86,4.4,30.5,54.1
2026,Emanuel Sharp,Houston,73.4,4.4,23.8,57.8
2026,Jaylin Sellers,Providence,71.9,4.4,24.6,63
2026,Morez Johnson Jr.,Michigan,61.7,4.4,21.3,69.3
2026,Mason Falslev,Utah St.,80.6,4.3,22.7,61.1
2026,MJ Collins,Utah St.,75.6,4.3,22.5,62.1
2026,Brayden Burries,Arizona,73.7,4.3,21.7,61
2026,Malik Reneau,Miami FL,70.9,4.3,30,63.1
2026,Trey Kaufman-Renn,Purdue,64.9,4.3,25.2,57.7
2026,Ryan Prather Jr.,Robert Morris,85.2,4.2,20.6,57.8
2026,Josh Hubbard,Mississippi St.,82,4.2,31.3,55.1
2026,Daniel Freitag,Buffalo,60.2,4.2,29.1,58.6
2026,Teagan Moore,Western Kentucky,60.2,4.2,26.1,65.3
2026,Tijan Saine Jr.,Weber St.,83.1,4.2,24.5,60.7
2026,Carson Johnson,Denver,90.1,4.2,24.4,58.6
2026,David Mirkovic,Illinois,71.8,4.2,23,59.7
2026,Tamin Lipsey,Iowa St.,71.5,4.2,22.6,53.3
2026,PJ Haggerty,Kansas St.,84.9,4.2,31.9,55.8
2026,Tariq Francis,Rutgers,68.2,4.2,28.8,56.3
2026,Fletcher Loyer,Purdue,71.9,4.1,19.2,63.2
2026,Brody Robinson,Oakland,90.8,4.1,24.2,60.2
2026,Tre White,Kansas,78.2,4.1,21.8,62.1
2026,Tounde Yessoufou,Baylor,81,4.1,25.3,55.3
2026,Don McHenry,Utah,76.7,4.1,24.2,58.3
2026,Nijel Pack,Oklahoma,73.8,4.1,23.4,62.2
2026,John Mobley Jr.,Ohio St.,70,4.1,23.4,61.8
2026,Alex Karaban,Connecticut,83.7,4.1,17.1,60
2026,Ryan Conwell,Louisville,73.3,4.1,27.1,57.3
2026,Sam Hoiberg,Nebraska,79.4,4.1,15.2,64.7
2026,Logan Duncomb,Winthrop,59.8,4.1,31.4,64.5
2026,Jed Miller,Montana St.,89.1,4.1,20.4,61.3
2026,Quadir Copeland,N.C. State,69.6,4.1,28,59.7
2026,Duke Miles,Vanderbilt,53.2,4.1,25.6,58.2
2026,DeSean Goode,Robert Morris,76.8,4,19.7,71.4
2026,J'Vonne Hadley,Louisville,66,4,16.4,65.9
2026,Jayden Stone,Missouri,58.2,4,18.3,62.6
2026,Joshua Dent,Saint Mary's,91.2,4,18.6,60.7
2026,Jake Fiegen,Cornell,56.4,4,24.1,65.7
2026,Blue Cain,Georgia,69.2,4,20.3,59.5
2026,Terrence Brown,Utah,78.4,4,32.8,54.3
2026,Duke Brennan,Villanova,73.5,4,20.8,65.8
2026,Allen Graves,Santa Clara,56.4,4,22.3,61.4
2026,Corey Camper Jr.,Nevada,69,4,23.9,58.4
2026,Matas Vokietaitis,Texas,64.4,4,27.2,66.7
2026,Daeshun Ruffin,Jackson St.,75.3,4,36.3,55.3
2026,Lewis Walker,North Carolina A&T,85.5,3.9,23.3,63.5
2026,Jake Hall,New Mexico,76.8,3.9,20.2,63.6
2026,Benny Gealer,Stanford,72.4,3.9,15.2,64.2
2026,Xzayvier Brown,Oklahoma,79.3,3.9,22.4,59
2026,Rafael Castro,George Washington,54,3.9,25.1,64
2026,Maurice Odum,Arizona St.,84.9,3.9,27,57
2026,Gavin Doty,Siena,91.3,3.9,23.1,57.4
2026,Silas Demary Jr.,Connecticut,72.2,3.9,23.5,59.4
2026,Sonny Wilson,Toledo,91.7,3.9,23.1,57.6
2026,Preston Edmead,Hofstra,84.7,3.9,24.5,57.4
2026,Otega Oweh,Kentucky,79.6,3.9,26.4,56.5
2026,Mikel Brown Jr.,Louisville,49.4,3.9,30.8,57.7
2026,Terrence Hill Jr.,VCU,59.6,3.9,24.3,62.4
2026,Jadin Booth,Samford,88.2,3.8,24,64.2
2026,Kenyon Giles,Wichita St.,88.2,3.8,23.2,55.2
2026,Finley Bizjack,Butler,80.5,3.8,22.2,58.1
2026,Chad Baker-Mazara,USC,61.2,3.8,27.6,60
2026,"Paul McNeil, Jr.",N.C. State,69.7,3.8,18.1,62.8
2026,Nate Ament,Tennessee,69.6,3.8,28,54.4
2026,Michael McNair,Boston University,89.5,3.8,20.9,63.8
2026,Jaquan Johnson,Bradley,74,3.8,28.1,56
2026,B.J. Edwards,SMU,74.3,3.8,19.6,57.9
2026,Nolan Minessale,St. Thomas,78.9,3.8,31.8,59.2
2026,Isaac Celiscar,Yale,77.4,3.8,19,63.8
2026,Baraka Okojie,Mercer,87.7,3.8,29.4,57
2026,Meleek Thomas,Arkansas,72.8,3.8,22.5,55.2
2026,Derrian Ford,Temple,86.5,3.7,24.7,56.8
