Feature,Importance
diff_AvgOR,126.01771377958357
diff_AvgBlk,99.51637804508209
diff_AvgFGA,88.51792414113879
diff_AvgFGA3,77.01765940152109
diff_AvgDR,75.51766873151064
diff_AvgRank,70.51555311214179
diff_AvgStl,69.51685369946063
diff_AvgPF,68.5161670986563
diff_AvgTO,68.51533707045019
diff_BestRank,67.01635571196675
diff_WinPct,64.52894624136388
SeedDiff,63.518063543364406
diff_AvgFTA,59.01745158061385
diff_AvgFTPct,57.024270210415125
diff_AvgFTM,56.015895610675216
diff_AvgFGPct3,54.02187181264162
diff_AvgFGM3,51.01425312831998
diff_AvgPointsFor,40.51783478632569
diff_AvgPointsAgainst,39.51467031240463
diff_AvgAst,37.01540419179946
diff_NetEff,35.02446302585304
diff_AvgFGPct,31.016131898388267
SeedSum,28.518898418173194
diff_AvgFGM,28.016821641474962
diff_PointDiff,26.51775736734271
diff_DefEff,25.01483314204961
diff_OffEff,8.515077916905284
HigherSeed,1.0197443570941687
